Sl No,Watch Model Name,Sales Date,Quantity Sold,Online Sales (INR),Offline Sales (INR),Rafting
37,Boat Wave Lite,2024-08-17,81,255730.88,108373.19,1.45
38,Boat Wave Lite,2024-08-18,21,165420.45,82890.18,3.37
39,Boat Wave Lite,2024-08-19,149,212815.8,48292.85,1.47
40,Boat Wave Lite,2024-08-20,36,194896.45,62026.12,2.75
41,Boat Wave Lite,2024-08-21,45,61975.48,88013.95,1.48
42,Boat Wave Lite,2024-08-22,150,134295.31,94049.02,4.74
43,Boat Wave Lite,2024-08-23,136,76760.33,88293.52,4.98
44,Boat Wave Lite,2024-08-24,158,155614.36,80611.78,2.67
45,Boat Wave Lite,2024-08-25,141,231087.63,148280.99,3.5
46,Boat Wave Lite,2024-08-26,117,139497.44,84923.87,4.07
47,Boat Wave Lite,2024-08-27,11,298797.74,76666.49,3.63
48,Boat Wave Lite,2024-08-28,134,143917.08,45872.23,1.99
49,Boat Wave Lite,2024-08-29,45,114043.78,125261.92,3.35
50,Boat Wave Lite,2024-08-30,31,278007.11,137249.43,3.02
51,Boat Wave Lite,2024-08-31,88,237096.99,101143.76,4.27
52,Boat Wave Lite,2024-09-01,195,213546.65,44428.04,2.48
53,Boat Wave Lite,2024-09-02,116,192074.73,140827.4,3.7
54,Boat Wave Lite,2024-09-03,136,86705.62,113210.4,2.61
55,Boat Wave Lite,2024-09-04,30,156158.2,125691.62,4.01
56,Boat Wave Lite,2024-09-05,137,119435.6,83338.16,3.83
57,Boat Wave Lite,2024-09-06,127,260975.59,55849.41,1.27
58,Boat Wave Lite,2024-09-07,107,236739.76,143976.32,3.32
59,Boat Wave Lite,2024-09-08,189,147887.46,134137.8,4.61
60,Boat Wave Lite,2024-09-09,190,151226.06,116860.3,2.96
61,Boat Wave Lite,2024-09-10,164,193752.09,38632.29,2.0
62,Boat Wave Lite,2024-09-11,174,145333.62,108294.14,3.92
63,Boat Wave Lite,2024-09-12,178,86469.36,64059.32,3.65
64,Boat Wave Lite,2024-09-13,27,62206.06,41809.52,4.74
65,Boat Wave Lite,2024-09-14,25,166913.49,53930.33,1.96
66,Boat Wave Lite,2024-09-15,93,150443.69,78624.43,1.51
67,Boat Wave Lite,2024-09-16,28,72451.97,31142.23,4.65
68,Boat Wave Lite,2024-09-17,51,256632.36,63133.24,2.49
69,Boat Wave Lite,2024-09-18,37,120225.33,53756.22,4.49
70,Boat Wave Lite,2024-09-19,19,285392.79,105575.88,1.47
71,Boat Wave Lite,2024-09-20,78,241286.33,108052.71,3.79
72,Boat Wave Lite,2024-09-21,98,274264.63,86669.18,2.94
73,Boat Wave Lite,2024-09-22,96,85243.75,136865.49,4.56
74,Boat Wave Lite,2024-09-23,91,98853.78,67470.12,3.6
75,Boat Wave Lite,2024-09-24,190,288968.76,112805.98,2.57
76,Boat Wave Lite,2024-09-25,164,203790.2,31206.87,3.97
77,Boat Wave Lite,2024-09-26,11,129032.94,146384.25,1.33
78,Boat Wave Lite,2024-09-27,41,222810.43,43463.44,2.81
79,Boat Wave Lite,2024-09-28,131,77251.6,59321.62,2.97
80,Boat Wave Lite,2024-09-29,179,294219.45,41067.02,4.05
81,Boat Wave Lite,2024-09-30,163,252595.31,128464.3,1.45
82,Boat Wave Lite,2024-10-01,173,269480.77,112585.3,3.57
83,Boat Wave Lite,2024-10-02,62,83402.66,145988.97,4.29
84,Boat Wave Lite,2024-10-03,109,159087.73,79034.75,4.33
85,Boat Wave Lite,2024-10-04,47,200765.18,114446.63,2.49
86,Boat Wave Lite,2024-10-05,148,162982.71,89093.2,2.96
87,Boat Wave Lite,2024-10-06,176,66924.19,85364.55,3.11
88,Boat Wave Lite,2024-10-07,150,191538.86,111334.42,2.28
89,Boat Wave Lite,2024-10-08,149,224928.46,60350.32,3.04
90,Boat Wave Lite,2024-10-09,192,150087.59,118036.2,2.32
91,Boat Wave Lite,2024-10-10,160,137460.38,138914.56,2.19
92,Boat Wave Lite,2024-10-11,88,178016.99,63739.19,4.29
93,Boat Wave Lite,2024-10-12,81,123065.84,75152.85,3.82
94,Boat Wave Lite,2024-10-13,145,152478.18,50856.34,3.93
95,Boat Wave Lite,2024-10-14,160,293993.56,118961.83,2.17
96,Boat Wave Lite,2024-10-15,99,98720.73,67167.66,4.04
97,Boat Wave Lite,2024-10-16,48,151827.68,127963.21,1.73
98,Boat Wave Lite,2024-10-17,161,208886.22,37316.12,2.53
99,Boat Wave Lite,2024-10-18,141,240900.74,110283.67,3.7
100,Boat Wave Lite,2024-10-19,95,196994.74,86952.23,3.32
101,Boat Wave Lite,2024-10-20,48,116766.3,76760.4,4.76
102,Boat Wave Lite,2024-10-21,182,203079.41,74527.59,2.38
103,Boat Wave Lite,2024-10-22,164,116892.08,144645.99,2.73
104,Boat Wave Lite,2024-10-23,120,180162.04,62035.34,2.02
105,Boat Wave Lite,2024-10-24,130,202838.92,41275.82,1.32
106,Boat Wave Lite,2024-10-25,187,222113.41,96926.08,2.07
107,Boat Wave Lite,2024-10-26,66,87776.78,146612.16,1.38
108,Boat Wave Lite,2024-10-27,51,246977.31,136240.68,2.49
109,Boat Wave Lite,2024-10-28,136,213493.34,88589.47,1.39
110,Boat Wave Lite,2024-10-29,66,146844.8,36000.85,3.25
111,Boat Wave Lite,2024-10-30,178,133695.06,110126.79,3.97
112,Boat Wave Lite,2024-10-31,79,136901.03,38538.7,4.04
113,Boat Wave Lite,2024-11-01,167,64029.5,149296.68,1.73
114,Boat Wave Lite,2024-11-02,113,82261.74,38184.69,4.48
115,Boat Wave Lite,2024-11-03,125,217334.76,89679.85,2.64
116,Boat Wave Lite,2024-11-04,118,271087.68,118417.83,3.96
117,Boat Wave Lite,2024-11-05,192,122653.23,136393.13,2.18
118,Boat Wave Lite,2024-11-06,161,270717.55,65239.83,3.11
119,Boat Wave Lite,2024-11-07,172,101433.71,111878.06,3.92
120,Boat Wave Lite,2024-11-08,76,111581.54,91420.33,1.39
121,Boat Wave Lite,2024-11-09,170,147328.78,146997.69,4.32
122,Boat Wave Lite,2024-11-10,171,160387.43,55943.12,1.85
123,Boat Wave Lite,2024-11-11,190,246182.58,148835.86,3.08
124,Boat Wave Lite,2024-11-12,43,268978.75,109097.66,2.24
125,Boat Wave Lite,2024-11-13,65,140535.63,121178.7,3.55
126,Boat Wave Lite,2024-11-14,99,208689.06,41207.56,2.26
127,Boat Wave Lite,2024-11-15,79,164516.1,125744.23,1.85
128,Boat Wave Lite,2024-11-16,31,292549.45,100034.32,2.05
129,Boat Wave Lite,2024-11-17,83,139030.69,31064.36,2.1
130,Boat Wave Lite,2024-11-18,88,195417.19,124174.42,4.62
131,Boat Wave Lite,2024-11-19,103,132426.11,41124.48,1.69
132,Boat Wave Lite,2024-11-20,39,286473.0,74526.55,2.42
133,Boat Wave Lite,2024-11-21,197,196056.18,143592.66,1.24
134,Boat Wave Lite,2024-11-22,76,297821.47,37678.07,4.49
135,Boat Wave Lite,2024-11-23,96,267580.22,134994.68,2.89
136,Boat Wave Lite,2024-11-24,65,81580.61,115345.3,4.12
137,Boat Wave Lite,2024-11-25,189,66129.26,98067.7,4.96
138,Boat Wave Lite,2024-11-26,36,185184.55,79295.97,1.74
139,Boat Wave Lite,2024-11-27,121,60039.26,140556.39,4.9
140,Boat Wave Lite,2024-11-28,178,220847.94,135229.82,3.06
141,Boat Wave Lite,2024-11-29,20,287608.18,112593.74,1.77
142,Boat Wave Lite,2024-11-30,89,209120.25,92257.34,1.48
143,Boat Wave Lite,2024-12-01,11,143887.56,70593.7,3.77
144,Boat Wave Lite,2024-12-02,111,126208.84,122520.9,2.26
145,Boat Wave Lite,2024-12-03,199,210029.51,139437.68,2.16
146,Boat Wave Lite,2024-12-04,49,169639.55,86676.2,1.69
147,Boat Wave Lite,2024-12-05,35,145671.03,49169.21,1.52
148,Boat Wave Lite,2024-12-06,198,275404.28,90151.96,1.3
149,Boat Wave Lite,2024-12-07,150,89225.66,78005.43,4.35
150,Boat Wave Lite,2024-12-08,16,103503.23,123696.74,1.99
151,Boat Wave Lite,2024-12-09,148,73721.76,80917.0,3.77
152,Boat Wave Lite,2024-12-10,46,216505.92,122482.22,2.26
153,Boat Wave Lite,2024-12-11,182,249322.89,57318.22,2.99
154,Boat Wave Lite,2024-12-12,93,287826.58,148625.75,2.42
155,Boat Wave Lite,2024-12-13,29,154013.98,78872.46,4.91
156,Boat Wave Lite,2024-12-14,96,87014.84,73669.75,1.85
157,Boat Wave Lite,2024-12-15,90,121654.04,81630.82,2.77
158,Boat Wave Lite,2024-12-16,106,165624.57,73496.06,2.75
159,Boat Wave Lite,2024-12-17,190,97972.11,37709.37,4.46
160,Boat Wave Lite,2024-12-18,40,107839.41,81601.24,4.05
161,Boat Wave Lite,2024-12-19,150,248179.93,76790.9,1.67
162,Boat Wave Lite,2024-12-20,88,106470.82,122553.06,2.05
163,Boat Wave Lite,2024-12-21,20,205677.94,121866.04,4.22
164,Boat Wave Lite,2024-12-22,116,227561.23,114805.34,1.28
165,Boat Wave Lite,2024-12-23,133,51022.66,70737.36,2.92
166,Boat Wave Lite,2024-12-24,174,74111.26,142799.75,3.9
167,Boat Wave Lite,2024-12-25,53,149128.28,148211.04,3.87
168,Boat Wave Lite,2024-12-26,93,280508.45,58691.67,3.18
169,Boat Wave Lite,2024-12-27,30,140066.49,58991.37,2.51
170,Boat Wave Lite,2024-12-28,147,130790.44,94574.57,2.29
171,Boat Wave Lite,2024-12-29,146,225159.74,137993.33,3.83
172,Boat Wave Lite,2024-12-30,14,86464.44,43425.59,1.3
173,Boat Wave Lite,2024-12-31,127,96105.38,137568.59,2.4
174,Boat Wave Lite,2025-01-01,102,213920.44,64739.85,2.53
175,Boat Wave Lite,2025-01-02,180,248305.82,55397.88,2.78
176,Boat Wave Lite,2025-01-03,132,277076.74,74540.11,3.73
177,Boat Wave Lite,2025-01-04,59,120840.48,134775.31,3.46
178,Boat Wave Lite,2025-01-05,49,241651.39,113859.41,2.39
179,Boat Wave Lite,2025-01-06,133,65955.06,92160.43,4.69
180,Boat Wave Lite,2025-01-07,10,267135.96,110573.04,1.09
181,Boat Wave Lite,2025-01-08,67,271331.35,90085.23,1.02
182,Boat Wave Lite,2025-01-09,56,68403.86,97749.24,2.77
183,Boat Wave Lite,2025-01-10,115,214104.88,116889.92,3.31
184,Boat Wave Lite,2025-01-11,99,190111.18,128820.34,2.38
185,Boat Wave Lite,2025-01-12,176,214618.25,91378.35,1.56
186,Boat Wave Lite,2025-01-13,87,238077.96,107251.92,3.17
187,Boat Wave Lite,2025-01-14,179,272667.55,59357.36,2.12
188,Boat Wave Lite,2025-01-15,76,200000.98,110228.8,3.59
189,Boat Wave Lite,2025-01-16,115,106782.21,119686.07,3.74
190,Boat Wave Lite,2025-01-17,197,250929.57,50896.16,2.75
191,Boat Wave Lite,2025-01-18,72,104001.51,90703.54,4.45
192,Boat Wave Lite,2025-01-19,113,70597.57,148981.77,1.06
193,Boat Wave Lite,2025-01-20,135,267538.13,52150.0,4.15
194,Boat Wave Lite,2025-01-21,78,220157.36,111937.97,4.3
195,Boat Wave Lite,2025-01-22,168,201652.1,113759.43,1.6
196,Boat Wave Lite,2025-01-23,82,229608.7,86950.36,1.38
197,Boat Wave Lite,2025-01-24,55,162658.06,123924.32,1.43
198,Boat Wave Lite,2025-01-25,72,207168.77,129986.02,4.77
199,Boat Wave Lite,2025-01-26,192,53933.7,64618.48,1.36
200,Boat Wave Lite,2025-01-27,164,85401.75,56730.81,4.0
201,Boat Wave Lite,2025-01-28,11,226559.85,69627.41,1.63
202,Boat Wave Lite,2025-01-29,98,275431.41,80190.72,4.83
203,Boat Wave Lite,2025-01-30,177,94611.88,75745.33,1.26
204,Boat Wave Lite,2025-01-31,28,128347.47,101417.85,1.68
205,Boat Wave Lite,2025-02-01,136,204894.7,75478.58,3.04
206,Boat Wave Lite,2025-02-02,83,282601.23,100312.53,4.18
207,Boat Wave Lite,2025-02-03,86,280524.74,62728.42,1.89
208,Boat Wave Lite,2025-02-04,184,266019.24,141418.84,2.13
209,Boat Wave Lite,2025-02-05,127,74149.33,87972.51,4.76
210,Boat Wave Lite,2025-02-06,143,65514.98,110754.98,4.29
211,Boat Wave Lite,2025-02-07,163,234448.83,47589.38,3.53
212,Boat Wave Lite,2025-02-08,154,176044.13,76387.12,3.91
213,Boat Wave Lite,2025-02-09,65,261869.22,55547.33,2.38
214,Boat Wave Lite,2025-02-10,200,91939.61,75396.41,2.49
215,Boat Wave Lite,2025-02-11,200,51784.42,62628.08,2.95
216,Boat Wave Lite,2025-02-12,72,123416.08,106453.21,3.54
217,Boat Wave Lite,2025-02-13,87,85950.12,99236.53,1.89
218,Boat Wave Lite,2025-02-14,77,132024.75,68975.85,1.74
219,Boat Wave Lite,2025-02-15,131,114619.91,51036.99,3.98
220,Boat Wave Lite,2025-02-16,200,90855.01,49193.61,3.19
221,Boat Wave Lite,2025-02-17,161,156449.73,110622.4,1.5
222,Boat Wave Lite,2025-02-18,167,107404.59,68210.29,4.52
223,Boat Wave Lite,2025-02-19,24,52094.56,40484.24,3.5
224,Boat Wave Lite,2025-02-20,190,107721.36,38287.67,3.71
225,Boat Wave Lite,2025-02-21,54,246132.12,142940.63,3.38
226,Boat Wave Lite,2025-02-22,68,229874.4,52452.37,2.22
227,Boat Wave Lite,2025-02-23,194,137328.11,65392.93,3.44
228,Boat Wave Lite,2025-02-24,87,120531.11,116605.55,4.21
229,Boat Wave Lite,2025-02-25,68,297082.85,66765.45,3.53
230,Boat Wave Lite,2025-02-26,86,201751.31,132189.53,2.39
231,Boat Wave Lite,2025-02-27,14,230968.24,116440.47,3.45
232,Boat Wave Lite,2025-02-28,162,270984.79,92559.21,3.63
233,Boat Wave Lite,2025-03-01,154,101051.9,47964.2,3.69
234,Boat Wave Lite,2025-03-02,82,286218.21,35525.21,2.65
235,Boat Wave Lite,2025-03-03,138,170794.06,42676.93,3.43
236,Boat Wave Lite,2025-03-04,67,161523.52,65366.01,4.49
237,Boat Wave Lite,2025-03-05,15,259729.08,71528.74,2.97
238,Boat Wave Lite,2025-03-06,144,267999.69,66520.56,1.99
239,Boat Wave Lite,2025-03-07,36,101592.71,113806.49,1.11
240,Boat Wave Lite,2025-03-08,158,229799.98,124372.22,1.56
241,Boat Wave Lite,2025-03-09,10,219160.61,95515.32,2.69
242,Boat Wave Lite,2025-03-10,98,287037.56,73988.65,2.02
243,Boat Wave Lite,2025-03-11,153,109862.42,77564.6,1.26
244,Boat Wave Lite,2025-03-12,53,87236.77,128917.22,2.87
245,Boat Wave Lite,2025-03-13,33,299331.46,72964.34,3.48
246,Boat Wave Lite,2025-03-14,46,86016.77,115753.86,3.58
247,Boat Wave Lite,2025-03-15,122,196440.14,77889.41,4.28
248,Boat Wave Lite,2025-03-16,131,281522.48,130542.25,4.0
249,Boat Wave Lite,2025-03-17,97,180071.62,67025.26,3.32
250,Boat Wave Lite,2025-03-18,12,97059.76,131443.14,3.07
251,Boat Wave Lite,2025-03-19,161,266026.82,44047.49,1.41
252,Boat Wave Lite,2025-03-20,177,147334.35,74614.38,3.01
253,Boat Wave Lite,2025-03-21,130,215536.38,129767.44,1.86
254,Boat Wave Lite,2025-03-22,132,292587.67,98890.03,4.16
255,Boat Wave Lite,2025-03-23,149,272043.56,85284.54,2.73
256,Boat Wave Lite,2025-03-24,191,69325.47,52540.81,2.67
257,Boat Wave Lite,2025-03-25,44,136844.92,44906.98,1.15
258,Boat Wave Lite,2025-03-26,40,87354.28,140996.91,4.35
259,Boat Wave Lite,2025-03-27,23,178608.16,143585.96,3.61
260,Boat Wave Lite,2025-03-28,30,223996.55,113548.17,4.18
261,Boat Wave Lite,2025-03-29,83,73703.89,94510.89,4.37
262,Boat Wave Lite,2025-03-30,121,148742.14,118836.81,2.36
263,Boat Wave Lite,2025-03-31,154,238852.72,125583.03,4.0
264,Boat Wave Lite,2025-04-01,75,207129.9,81226.52,3.24
265,Boat Wave Lite,2025-04-02,180,102872.51,107241.69,1.56
266,Boat Wave Lite,2025-04-03,167,126314.35,33698.65,1.97
267,Boat Wave Lite,2025-04-04,199,180800.33,30231.49,4.54
268,Boat Wave Lite,2025-04-05,16,256623.17,85836.51,2.31
269,Boat Wave Lite,2025-04-06,191,232222.34,103522.25,1.88
270,Boat Wave Lite,2025-04-07,122,75761.15,32805.43,1.25
271,Boat Wave Lite,2025-04-08,71,295051.82,94365.56,3.29
272,Boat Wave Lite,2025-04-09,55,211748.35,83274.56,2.33
273,Boat Wave Lite,2025-04-10,162,257751.47,120815.18,2.31
274,Boat Wave Lite,2025-04-11,164,119200.09,74640.53,1.21
275,Boat Wave Lite,2025-04-12,157,133456.88,94298.68,1.34
276,Boat Wave Lite,2025-04-13,185,50712.9,48246.24,4.71
277,Boat Wave Lite,2025-04-14,70,201375.7,40103.57,3.0
278,Boat Wave Lite,2025-04-15,29,273131.91,143292.65,2.56
279,Boat Wave Lite,2025-04-16,28,268282.79,106374.97,1.72
280,Boat Wave Lite,2025-04-17,67,103967.57,88663.62,2.58
281,Boat Wave Lite,2025-04-18,60,253598.82,58254.65,4.61
282,Boat Wave Lite,2025-04-19,46,68013.13,114583.46,1.72
283,Boat Wave Lite,2025-04-20,146,126329.44,140272.36,3.88
284,Boat Wave Lite,2025-04-21,96,105686.45,62485.91,1.51
285,Boat Wave Lite,2025-04-22,58,100051.15,75851.46,1.67
286,Boat Wave Lite,2025-04-23,21,174342.2,52669.68,2.0
287,Boat Wave Lite,2025-04-24,47,50164.61,77340.29,4.25
288,Boat Wave Lite,2025-04-25,19,68989.15,128909.24,2.27
289,Boat Wave Lite,2025-04-26,77,54515.04,64580.39,4.13
290,Boat Wave Lite,2025-04-27,126,247076.64,146358.58,2.03
291,Boat Wave Lite,2025-04-28,120,254875.07,109100.14,3.33
292,Boat Wave Lite,2025-04-29,15,280258.93,40225.19,4.89
293,Boat Wave Lite,2025-04-30,82,257755.7,67554.95,3.43
294,Boat Wave Lite,2025-05-01,88,277489.12,100081.76,1.18
295,Boat Wave Lite,2025-05-02,25,219880.99,139034.0,4.95
296,Boat Wave Lite,2025-05-03,120,240375.87,128911.14,1.06
297,Boat Wave Lite,2025-05-04,14,293985.37,124529.53,4.47
298,Boat Wave Lite,2025-05-05,117,184642.8,61654.17,2.17
299,Boat Wave Lite,2025-05-06,62,89094.12,99417.08,1.12
300,Boat Wave Lite,2025-05-07,128,213311.16,96115.09,3.68
301,Boat Wave Lite,2025-05-08,147,130918.81,36432.92,4.03
302,Boat Wave Lite,2025-05-09,48,131846.59,96743.27,2.22
303,Boat Wave Lite,2025-05-10,30,162782.87,86825.1,4.46
304,Boat Wave Lite,2025-05-11,93,241976.24,111453.35,2.03
305,Boat Wave Lite,2025-05-12,175,50704.69,35348.38,2.96
306,Boat Wave Lite,2025-05-13,57,193240.81,126107.34,4.58
307,Boat Wave Lite,2025-05-14,108,65531.3,122440.58,2.65
308,Boat Wave Lite,2025-05-15,92,108859.19,138838.74,2.98
309,Boat Wave Lite,2025-05-16,128,86032.27,111292.16,1.8
310,Boat Wave Lite,2025-05-17,63,227237.33,138485.77,2.39
311,Boat Wave Lite,2025-05-18,69,208961.28,78942.31,1.54
312,Boat Wave Lite,2025-05-19,101,185524.07,111574.67,4.39
313,Boat Wave Lite,2025-05-20,17,275651.79,36783.86,3.28
314,Boat Wave Lite,2025-05-21,11,195106.06,138532.47,2.88
315,Boat Wave Lite,2025-05-22,176,208230.3,114531.18,4.37
316,Boat Wave Lite,2025-05-23,157,198633.18,102484.2,4.41
317,Boat Wave Lite,2025-05-24,30,108484.51,32963.81,3.14
318,Boat Wave Lite,2025-05-25,27,67308.37,42907.69,3.77
319,Boat Wave Lite,2025-05-26,192,226962.03,144056.24,4.93
320,Boat Wave Lite,2025-05-27,84,88944.34,72025.88,3.09
321,Boat Wave Lite,2025-05-28,169,118336.16,59365.08,3.1
322,Boat Wave Lite,2025-05-29,72,125118.89,34676.87,4.35
323,Boat Wave Lite,2025-05-30,47,210378.35,121501.87,2.81
324,Boat Wave Lite,2025-05-31,150,203848.74,44522.65,1.37
325,Boat Wave Lite,2025-06-01,122,128378.2,60116.29,4.51
326,Boat Wave Lite,2025-06-02,200,109832.62,111431.46,3.83
327,Boat Wave Lite,2025-06-03,129,91688.46,65132.87,1.74
328,Boat Wave Lite,2025-06-04,170,93399.34,42837.3,3.02
329,Boat Wave Lite,2025-06-05,27,201486.07,127095.25,1.05
330,Boat Wave Lite,2025-06-06,159,118174.63,121857.19,4.48
331,Boat Wave Lite,2025-06-07,183,235413.41,148139.61,2.57
332,Boat Wave Lite,2025-06-08,69,146641.14,42293.48,4.91
333,Boat Wave Lite,2025-06-09,27,277810.32,68851.31,2.27
334,Boat Wave Lite,2025-06-10,137,175217.29,103975.97,1.52
335,Boat Wave Lite,2025-06-11,59,288282.5,90625.56,3.67
336,Boat Wave Lite,2025-06-12,16,263285.49,113519.76,3.71
337,Boat Wave Lite,2025-06-13,80,254367.22,39032.76,1.82
338,Boat Wave Lite,2025-06-14,115,156324.61,35090.49,1.52
339,Boat Wave Lite,2025-06-15,73,82530.58,117114.02,3.16
340,Boat Wave Lite,2025-06-16,79,215374.15,86485.02,3.43
341,Boat Wave Lite,2025-06-17,149,122209.84,92667.62,2.65
342,Boat Wave Lite,2025-06-18,144,281624.84,44663.13,1.47
343,Boat Wave Lite,2025-06-19,109,55794.36,108336.9,2.35
344,Boat Wave Lite,2025-06-20,98,212771.56,94414.88,3.26
345,Boat Wave Lite,2025-06-21,188,88007.67,51247.26,2.54
346,Boat Wave Lite,2025-06-22,164,282585.81,69424.32,4.62
347,Boat Wave Lite,2025-06-23,191,206884.44,81118.45,1.64
348,Boat Wave Lite,2025-06-24,11,144411.59,128906.2,3.25
349,Boat Wave Lite,2025-06-25,116,249531.79,90663.58,2.8
350,Boat Wave Lite,2025-06-26,129,138287.37,83246.79,2.89
351,Boat Wave Lite,2025-06-27,128,184644.96,50424.44,2.64
352,Boat Wave Lite,2025-06-28,98,115966.36,123097.45,1.97
353,Boat Wave Lite,2025-06-29,144,122591.6,85123.47,2.43
354,Boat Wave Lite,2025-06-30,155,280453.71,130072.02,4.09
355,Boat Wave Lite,2025-07-01,28,227582.21,77253.67,4.47
356,Boat Wave Lite,2025-07-02,145,120295.65,42525.43,1.07
357,Boat Wave Lite,2025-07-03,87,55910.37,43725.3,3.65
358,Boat Wave Lite,2025-07-04,85,150315.44,89932.5,4.84
359,Boat Wave Lite,2025-07-05,153,230599.62,101987.05,4.35
360,Boat Wave Lite,2025-07-06,89,59315.01,70548.56,2.56
361,Boat Wave Lite,2025-07-07,35,245533.0,38497.48,3.64
362,Boat Wave Lite,2025-07-08,62,128803.82,35422.27,1.11
363,Boat Wave Lite,2025-07-09,87,146234.01,139470.24,3.53
364,Boat Wave Lite,2025-07-10,31,156033.65,89336.15,1.53
365,Boat Wave Lite,2025-07-11,195,174853.14,50719.59,3.4
